Year,Team,G,W,L,W-L%,SRS,SOS,Conf. W,Conf. L,Home W,Home L,Away W,Away L,Team Points,Opp Points,FG%,3P%,FT%,Home win rate,Away win rate,Conference win rate,Point diff %,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM,Seed,Made Round of 16
2023,Alabama,37,31,6,0.838,23.19,9.65,16,2,15,0,9,3,3027,2526,0.442,0.335,0.725,1,0.75,0.89,0.2,27.28,115.5,88.2,72.6,0.057,11.07,110.2,99.2,10.46,1,1
2023,Arizona,35,28,7,0.8,19.08,8.34,14,6,15,2,6,4,2866,2490,0.494,0.378,0.708,0.88,0.6,0.7,0.15,21.9,118.2,96.3,72,0.027,8.32,107.5,99.2,3.12,2,0
2023,Arizona State,36,23,13,0.639,11.29,8.18,11,9,10,5,7,6,2559,2447,0.421,0.322,0.689,0.67,0.54,0.55,0.05,13.26,109,95.8,68.1,0.047,8.4,108.4,100,0.78,11,0
2023,Arkansas,36,22,14,0.611,15.99,9.87,8,10,14,3,2,8,2666,2446,0.466,0.313,0.698,0.82,0.2,0.44,0.09,18.05,112.1,94,69.6,-0.042,10.29,109.7,99.4,3.24,8,1
2023,Auburn,34,21,13,0.618,14.35,9.29,10,8,14,2,4,8,2474,2302,0.439,0.315,0.696,0.88,0.33,0.56,0.07,16.77,112.5,95.7,67.6,-0.018,9.68,109.4,99.7,3.38,9,0
2023,Baylor,34,23,11,0.676,17.3,10.54,11,7,14,3,5,5,2619,2389,0.45,0.368,0.744,0.82,0.5,0.61,0.1,19.68,121.3,101.6,66.5,0.021,12.33,110.4,98,1.31,3,0
2023,Boise State,34,24,10,0.706,12.78,6.21,13,5,14,1,6,6,2451,2198,0.453,0.362,0.733,0.93,0.5,0.72,0.12,15.85,110.9,95.1,66.2,0.006,6.85,108.7,101.8,0.93,10,0
2023,Colgate,35,26,9,0.743,2.2,-5.86,17,1,14,2,11,4,2733,2426,0.511,0.403,0.661,0.88,0.73,0.94,0.13,5.24,112.7,107.5,67.5,0.015,-6.95,100.9,107.8,-1.23,15,0
2023,Connecticut,39,31,8,0.795,22.95,8.51,13,7,15,2,6,5,3064,2501,0.464,0.363,0.761,0.88,0.55,0.65,0.23,29.86,120.8,90.9,66.6,-0.056,10.39,109.7,99.3,-1.75,4,1
2023,Creighton,37,24,13,0.649,17.83,9.8,14,6,13,2,5,6,2828,2531,0.469,0.354,0.783,0.87,0.45,0.7,0.12,21.83,115,93.2,67.8,-0.068,11.15,111,99.8,5.97,6,1
2023,Drake,35,27,8,0.771,7.84,-1.14,15,5,14,1,6,6,2617,2236,0.469,0.37,0.767,0.93,0.5,0.75,0.17,11.9,108.4,96.5,66.3,0.015,-1.77,103.9,105.7,-2.18,12,0
2023,Duke,36,27,9,0.75,15.83,7.44,14,6,16,0,4,6,2592,2290,0.452,0.335,0.766,1,0.4,0.7,0.13,19.35,113.2,93.9,64.9,0.051,7.65,109.7,102.1,1.77,5,0
2023,FDU,37,21,16,0.568,-8.98,-9.83,10,6,10,5,8,9,2863,2744,0.452,0.345,0.752,0.67,0.47,0.63,0.04,-8.36,106.7,115.1,68.7,0.011,-12.02,97.2,109.2,-7.05,16,0
2023,Florida Atlantic,39,35,4,0.897,13.92,2.3,18,2,17,0,11,3,3035,2547,0.466,0.366,0.719,1,0.79,0.9,0.19,19.38,115.1,95.7,67.6,0.056,2.65,106.2,103.6,-2.85,9,1
2023,Furman,36,28,8,0.778,4.89,-2.9,15,3,14,2,8,3,2911,2563,0.477,0.344,0.741,0.88,0.73,0.83,0.14,8.01,113.5,105.5,68.3,0.035,-3.5,103.9,107.4,-2.32,13,0
2023,Gonzaga,37,31,6,0.838,18.99,8.04,14,2,15,1,7,2,3187,2715,0.521,0.379,0.693,0.94,0.78,0.88,0.17,23.02,122.3,99.3,70.3,0.08,8.26,110.1,101.9,7.81,3,1
2023,Grand Canyon,36,24,12,0.667,4.43,1.27,10,7,14,4,5,5,2706,2421,0.462,0.383,0.716,0.78,0.5,0.59,0.12,5.88,111.9,106.1,65,0.039,1.23,104.8,103.5,-0.46,14,0
2023,Houston,37,33,4,0.892,22.2,4.79,17,1,16,2,11,0,2770,2126,0.458,0.34,0.733,0.89,1,0.94,0.3,27.72,118.1,90.4,63.5,0.023,4.56,107.2,102.6,-0.03,1,1
2023,Howard,35,22,13,0.629,-5.04,-5.14,11,3,12,2,6,8,2634,2542,0.458,0.374,0.713,0.86,0.43,0.79,0.04,-3.38,103.5,106.9,69,0.096,-5.6,101.3,106.9,-0.01,16,0
2023,Illinois,33,20,13,0.606,14.81,7.65,11,9,15,2,3,7,2452,2216,0.449,0.308,0.679,0.88,0.3,0.55,0.11,16.22,111.1,94.9,69.5,-0.053,8.8,109.1,100.3,-6.42,9,0
2023,Indiana,35,23,12,0.657,14.94,8.88,12,8,15,2,5,7,2616,2404,0.486,0.368,0.711,0.88,0.42,0.6,0.09,17.03,114.2,97.2,67.8,0.022,10.69,110.5,99.9,-3.56,4,0
2023,Iona,35,27,8,0.771,7.61,-2.76,17,3,11,1,8,4,2660,2297,0.459,0.362,0.732,0.92,0.67,0.85,0.16,11.35,110.7,99.4,68.7,0.012,-3.28,102.6,105.9,4.03,13,0
