Season,DayNum,WTeamID,LTeamID,WScore,LScore
2008,135,31,32,113,74
2008,135,63,44,86,72
2008,135,30,48,68,50
2008,135,6,3,71,40
2008,135,29,23,72,64
2008,135,39,59,79,61
2008,135,58,19,81,61
2008,135,16,65,72,57
2008,135,43,25,85,61
2008,135,11,41,71,58
2008,135,7,55,75,69
2008,135,20,8,83,62
2008,135,42,10,80,67
2008,135,2,56,71,56
2008,135,51,45,82,76
2008,135,47,12,66,47
2008,135,37,9,87,63
2008,135,34,27,76,69
2008,135,35,17,72,61
2008,135,26,28,82,63
2008,135,38,40,74,66
2008,135,18,52,77,53
2008,135,36,22,78,64
2008,135,15,62,74,54
2008,135,13,33,70,29
2008,135,14,57,67,62
2008,135,4,50,101,99
2008,135,21,54,70,69
2008,135,24,61,90,79
2008,135,1,46,73,61
2008,135,5,64,75,65
2008,135,49,60,71,70
2008,136,31,63,108,77
2008,136,6,30,61,41
2008,136,39,29,78,48
2008,136,16,58,76,71
2008,136,43,11,75,56
2008,136,7,20,84,72
2008,136,2,42,72,55
2008,136,51,47,74,70
2008,136,37,34,77,74
2008,136,35,26,65,54
2008,136,18,38,82,81
2008,136,15,36,75,72
2008,136,13,14,51,49
2008,136,4,21,72,63
2008,136,1,24,85,78
2008,136,5,49,73,67
2008,137,31,6,68,47
2008,137,39,16,79,60
2008,137,43,7,72,57
2008,137,51,2,73,56
2008,137,37,35,92,74
2008,137,15,18,82,62
2008,137,13,4,88,78
2008,137,1,5,79,75
2008,138,31,39,83,73
2008,138,43,51,59,57
2008,138,37,15,85,67
2008,138,13,1,76,57
2008,139,43,31,84,66
2008,139,37,13,78,63
2008,140,43,37,75,68
2009,135,107,97,74,54
2009,135,84,92,74,72
2009,135,127,75,84,71
2009,135,117,71,84,69
2009,135,114,69,68,60
2009,135,108,94,84,74
2009,135,76,124,72,55
2009,135,101,85,77,62
2009,135,116,119,103,47
2009,135,78,122,79,66
2009,135,87,93,61,56
2009,135,70,99,71,58
2009,135,105,74,58,57
2009,135,98,115,78,59
2009,135,104,120,84,71
2009,135,103,121,81,70
2009,135,89,112,72,62
2009,135,90,80,77,75
2009,135,67,111,61,59
2009,135,66,88,77,59
2009,135,77,73,65,64
2009,135,72,128,80,67
2009,135,79,100,76,62
2009,135,113,125,86,62
2009,135,95,86,101,58
2009,135,106,123,75,71
2009,135,68,109,76,72
2009,135,110,130,77,64
2009,135,126,81,66,57
2009,135,82,83,59,44
2009,135,102,118,62,59
2009,135,91,96,82,54
2009,136,107,84,79,72
2009,136,127,117,71,57
2009,136,108,114,60,43
2009,136,101,76,74,69
2009,136,116,78,92,66
2009,136,87,70,76,74
2009,136,98,105,83,79
2009,136,103,104,89,70
2009,136,89,90,84,76
2009,136,66,67,60,49
2009,136,72,77,89,69
2009,136,113,79,74,69
2009,136,95,106,84,70
2009,136,110,68,83,81
2009,136,82,126,78,67
2009,136,91,102,73,63
2009,137,107,127,103,64
2009,137,101,108,67,62
2009,137,116,87,72,60
2009,137,98,103,102,91
2009,137,89,66,60,55
2009,137,72,113,77,54
2009,137,95,110,98,77
2009,137,91,82,84,71
2009,138,101,107,64,52
2009,138,116,98,82,75
2009,138,72,89,78,76
2009,138,95,91,72,60
2009,139,101,116,82,73
2009,139,95,72,83,69
2009,140,95,101,89,72
2010,135,180,177,90,74
2010,135,164,143,69,66
2010,135,173,166,70,67
2010,135,174,181,89,77
2010,135,147,151,62,59
2010,135,161,184,97,83
2010,135,183,159,64,59
2010,135,160,144,68,51
2010,135,149,139,79,56
2010,135,182,185,67,60
2010,135,193,141,77,59
2010,135,168,140,66,65
2010,135,131,172,65,54
2010,135,157,162,89,66
2010,135,192,186,99,92
2010,135,179,165,82,62
2010,135,178,187,100,71
2010,135,137,146,81,80
2010,135,189,148,78,65
2010,135,133,132,53,49
2010,135,136,175,80,78
2010,135,167,170,62,57
2010,135,171,190,86,78
2010,135,135,169,77,50
2010,135,188,195,73,44
2010,135,191,176,77,62
2010,135,145,142,69,53
2010,135,156,150,72,64
2010,135,158,163,51,50
2010,135,194,152,68,59
2010,135,153,155,80,71
2010,135,138,154,73,70
2010,136,164,180,69,67
2010,136,173,174,85,83
2010,136,147,161,83,68
2010,136,160,183,75,66
2010,136,149,182,87,65
2010,136,193,168,54,52
2010,136,131,157,71,68
2010,136,179,192,84,72
2010,136,178,137,90,60
2010,136,189,133,87,69
2010,136,136,167,82,64
2010,136,135,171,68,59
2010,136,188,191,68,53
2010,136,156,145,63,61
2010,136,194,158,76,68
2010,136,153,138,75,68
2010,137,173,164,59,52
2010,137,147,160,76,73
2010,137,193,149,63,59
