Season,DayNum,WTeamID,LTeamID,WScore,LScore
2014,1,49,51,111,77
2014,1,2,217,86,75
2014,1,588,480,98,97
2014,1,54,104,78,77
2014,1,74,10,78,65
2014,1,27,47,82,75
2014,1,635,24,77,76
2014,1,29,331,82,73
2014,1,461,64,73,62
2014,1,217,2,86,75
2014,1,432,384,79,55
2014,1,51,49,111,77
2014,1,104,54,78,77
2014,1,61,325,72,60
2014,1,46,132,72,52
2014,1,5,32,77,62
2014,1,64,461,73,62
2014,1,331,29,82,73
2014,1,100,177,81,62
2014,1,480,588,98,97
2014,1,63,1096,99,65
2014,1,47,27,82,75
2014,1,404,166,70,64
2014,1,31,162,84,61
2014,1,258,18,72,68
2014,1,52,82,82,60
2014,1,513,548,82,39
2014,1,126,12,96,61
2014,1,799,71,89,78
2014,1,35,1046,98,56
2014,1,40,208,89,57
2014,1,18,258,72,68
2014,1,55,1026,71,51
2014,1,437,15,76,73
2014,1,302,125,79,74
2014,1,348,641,80,78
2014,1,1,794,83,59
2014,1,509,7,75,59
2014,1,71,799,89,78
2014,1,713,434,76,72
2014,1,32,5,77,62
2014,1,57,405,81,72
2014,1,398,20,74,62
2014,1,641,348,80,78
2014,1,124,420,82,78
2014,1,15,437,76,73
2014,1,48,65,63,60
2014,1,486,687,69,61
2014,1,125,302,79,74
2014,1,109,1145,80,63
2014,1,10,74,78,65
2014,1,24,635,77,76
2014,1,65,48,63,60
2014,1,434,713,76,72
2014,1,130,459,72,63
2014,1,14,529,82,58
2014,1,166,404,70,64
2014,1,1145,109,80,63
2014,1,13,862,72,67
2014,1,679,1127,82,74
2014,1,60,715,87,83
2014,1,687,486,69,61
2014,1,337,168,77,74
2014,1,168,337,77,74
2014,1,715,60,87,83
2014,1,229,42,60,58
2014,1,454,155,71,69
2014,1,450,86,76,54
2014,1,862,13,72,67
2014,1,420,124,82,78
2014,1,82,52,82,60
2014,1,7,509,75,59
2014,1,1127,679,82,74
2014,1,325,61,72,60
2014,1,655,802,72,65
2014,1,21,281,74,70
2014,1,529,14,82,58
2014,1,802,655,72,65
2014,1,269,376,61,41
2014,1,405,57,81,72
2014,1,208,40,89,57
2014,1,20,398,74,62
2014,1,281,21,74,70
2014,1,1096,63,99,65
2014,1,384,432,79,55
2014,1,177,100,81,62
2014,1,362,620,69,54
2014,1,12,126,96,61
2014,1,38,342,63,56
2014,1,155,454,71,69
2014,1,132,46,72,52
2014,1,6,598,62,56
2014,1,794,1,83,59
2014,1,86,450,76,54
2014,1,1026,55,71,51
2014,1,162,31,84,61
2014,1,598,6,62,56
2014,1,459,130,72,63
2014,1,1046,35,98,56
2014,1,342,38,63,56
2014,1,11,25,67,48
2014,1,42,229,60,58
2014,1,620,362,69,54
2014,1,376,269,61,41
2014,1,25,11,67,48
2014,1,548,513,82,39
2014,1,482,291,95,83
2014,1,56,908,84,55
2014,1,440,373,99,90
2014,1,45,1139,100,76
2014,1,161,93,75,64
2014,1,373,440,99,90
2014,1,23,139,74,64
2014,1,92,96,89,50
2014,1,584,404,78,68
2014,1,1062,807,94,75
2014,1,291,482,95,83
2014,1,17,698,78,73
2014,1,1139,45,100,76
2014,1,93,161,75,64
2014,1,224,1016,74,62
2014,1,404,584,78,68
2014,1,21,855,70,59
2014,1,378,117,73,69
2014,1,855,21,70,59
2014,1,623,916,82,44
2014,1,139,23,74,64
2014,1,698,17,78,73
2014,1,117,378,73,69
2014,1,807,1062,94,75
2014,1,1016,224,74,62
2014,1,452,984,68,60
2014,1,96,92,89,50
2014,1,908,56,84,55
2014,1,984,452,68,60
2014,1,916,623,82,44
2014,1,311,548,95,62
2014,1,342,571,78,75
2014,1,109,655,86,62
2014,1,40,635,93,63
2014,1,30,1026,80,49
2014,1,571,342,78,75
2014,1,124,439,86,73
2014,1,314,583,82,72
2014,1,439,124,86,73
2014,1,583,314,82,72
2014,1,655,109,86,62
2014,1,802,1145,85,59
2014,1,28,410,74,68
2014,1,1107,513,83,75
2014,1,52,302,93,89
2014,1,513,1107,83,75
2014,1,259,497,72,69
2014,1,497,259,72,69
2014,1,635,40,93,63
2014,1,302,52,93,89
2014,1,548,311,95,62
2014,1,1145,802,85,59
2014,1,410,28,74,68
2014,1,1026,30,80,49
2014,1,57,18,112,103
2014,1,45,324,93,61
2014,1,64,304,91,57
2014,1,54,536,80,62
2014,1,828,481,79,76
2014,1,18,57,112,103
2014,1,486,627,89,58
2014,1,29,165,95,82
2014,1,86,119,89,78
2014,1,481,828,79,76
2014,1,41,17,81,77
2014,1,17,41,81,77
2014,1,536,54,80,62
2014,1,165,29,95,82
2014,1,324,45,93,61
2014,1,434,51,81,77
2014,1,51,434,81,77
2014,1,304,64,91,57
2014,1,278,807,75,47
2014,1,60,155,69,61
2014,1,155,60,69,61
2014,1,266,4,66,49
2014,1,627,486,89,58
2014,1,119,86,89,78
2014,1,4,266,66,49
2014,1,807,278,75,47
2014,1,144,11,86,65
2014,1,518,8,86,80
2014,1,43,49,94,83
2014,1,35,40,78,74
2014,1,49,43,94,83
2014,1,916,687,82,79
2014,1,92,161,79,69
2014,1,8,518,86,80
2014,1,19,15,84,77
2014,1,22,130,85,63
2014,1,161,92,79,69
2014,1,348,480,84,79
2014,1,509,85,90,81
2014,1,166,584,95,88
2014,1,85,509,90,81
2014,1,439,106,92,90
2014,1,1,16,67,63
2014,1,106,439,92,90
