TeamID,TeamName
1,Xavier
2,Wisconsin
3,Winthrop
4,Western Kentucky
5,West Virginia
6,Washington St.
7,Villanova
8,Vanderbilt
9,UT Arlington
10,USC
11,UNLV
12,UMBC
13,UCLA
14,Texas A&M
15,Texas
16,Tennessee
17,Temple
18,Stanford
19,South Alabama
20,Siena
21,San Diego
22,Saint Mary's
23,Saint Joseph's
24,Purdue
25,Portland St.
26,Pittsburgh
27,Oregon
28,Oral Roberts
29,Oklahoma
30,Notre Dame
31,North Carolina
32,Mount St. Mary's
33,Mississippi Valley St.
34,Mississippi St.
35,Michigan St.
36,Miami FL
37,Memphis
38,Marquette
39,Louisville
40,Kentucky
41,Kent St.
42,Kansas St.
43,Kansas
44,Indiana
45,Gonzaga
46,Georgia
47,Georgetown
48,George Mason
49,Duke
50,Drake
51,Davidson
52,Cornell
54,Connecticut
55,Clemson
56,Cal St. Fullerton
57,BYU
58,Butler
59,Boise St.
60,Belmont
61,Baylor
62,Austin Peay
63,Arkansas
64,Arizona
65,American
66,Xavier
67,Wisconsin
68,Western Kentucky
69,West Virginia
70,Washington
71,Wake Forest
72,Villanova
73,VCU
74,Utah St.
75,Utah
76,USC
77,UCLA
78,Texas A&M
79,Texas
80,Tennessee
81,Temple
82,Syracuse
83,Stephen F. Austin
84,Siena
85,Robert Morris
86,Radford
87,Purdue
88,Portland St.
89,Pittsburgh
90,Oklahoma St.
91,Oklahoma
92,Ohio St.
93,Northern Iowa
94,North Dakota St.
95,North Carolina
96,Morgan St.
97,Morehead St.
98,Missouri
99,Mississippi St.
100,Minnesota
101,Michigan St.
102,Michigan
103,Memphis
104,Maryland
105,Marquette
106,LSU
107,Louisville
108,Kansas
109,Illinois
110,Gonzaga
111,Florida St.
112,East Tennessee St.
113,Duke
114,Dayton
115,Cornell
116,Connecticut
117,Cleveland St.
118,Clemson
119,Chattanooga
120,California
121,Cal St. Northridge
122,BYU
123,Butler
124,Boston College
125,Binghamton
126,Arizona St.
127,Arizona
128,American
130,Akron
131,Xavier
132,Wofford
133,Wisconsin
135,West Virginia
136,Washington
137,Wake Forest
138,Villanova
139,Vermont
140,Vanderbilt
