Season,Team,adj_em,adj_o,adj_d,adj_t,win_pct,Wins,Losses,Games
2018,Abilene Christian,-10.061899999999994,96.5301,106.592,69.7655,0.242271,8,24,32
2018,Air Force,-5.1366999999999905,99.8353,104.972,66.8555,0.359639,12,20,32
2018,Akron,-5.117000000000004,102.396,107.513,68.8554,0.36337,12,20,32
2018,Alabama,12.646299999999997,107.908,95.2617,69.8905,0.807446,26,6,32
2018,Alabama A&M,-27.3926,87.5974,114.99,67.5141,0.0419243,1,31,32
2018,Alabama St.,-21.549999999999997,94.34,115.89,70.2155,0.0858068,3,29,32
2018,Albany,1.3640000000000043,106.143,104.779,67.4255,0.537118,17,15,32
2018,Alcorn St.,-19.9675,94.3985,114.366,69.2254,0.0991576,3,29,32
2018,American,-14.615700000000004,96.4793,111.095,67.6231,0.164904,5,27,32
2018,Appalachian St.,-3.73599999999999,102.54,106.276,71.2377,0.398518,13,19,32
2018,Arizona,16.569000000000003,116.976,100.407,68.3056,0.852757,27,5,32
2018,Arizona St.,13.646,115.713,102.067,72.7087,0.808916,26,6,32
2018,Arkansas,16.217,116.657,100.44,71.0545,0.848302,27,5,32
2018,Arkansas Pine Bluff,-17.47720000000001,92.7498,110.227,68.8114,0.120751,4,28,32
2018,Arkansas St.,-9.672999999999988,104.061,113.734,70.8141,0.264607,8,24,32
2018,Army,-9.242099999999994,99.0039,108.246,71.5483,0.263792,8,24,32
2018,Auburn,17.164699999999996,114.03,96.8653,73.7967,0.867159,28,4,32
2018,Austin Peay,-0.9719999999999942,104.656,105.628,70.1595,0.473447,15,17,32
2018,BYU,8.521799999999999,106.69,98.1682,68.7414,0.722593,23,9,32
2018,Ball St.,-0.722999999999999,101.969,102.692,71.0604,0.479708,15,17,32
2018,Baylor,15.025199999999998,110.517,95.4918,67.5547,0.84297,27,5,32
2018,Belmont,8.929999999999993,112.294,103.364,68.3496,0.721697,23,9,32
2018,Bethune Cookman,-12.263099999999994,98.5969,110.86,76.89,0.206169,7,25,32
2018,Binghamton,-12.131,96.057,108.188,67.3737,0.202995,6,26,32
2018,Boise St.,12.866799999999998,109.212,96.3452,70.0525,0.808702,26,6,32
2018,Boston College,9.781999999999996,112.588,102.806,70.8883,0.739872,24,8,32
2018,Boston University,-7.8034000000000106,99.3076,107.111,68.6711,0.295284,9,23,32
2018,Bowling Green,-5.998000000000005,101.438,107.436,71.4657,0.340596,11,21,32
2018,Bradley,4.1647000000000105,103.867,99.7023,66.9962,0.615516,20,12,32
2018,Brown,-8.183000000000007,100.994,109.177,72.7481,0.289881,9,23,32
2018,Bryant,-21.462300000000013,98.3427,119.805,71.3269,0.0936212,3,29,32
2018,Bucknell,6.6910000000000025,108.012,101.321,72.8614,0.675984,22,10,32
2018,Buffalo,11.72999999999999,114.475,102.745,73.8078,0.776123,25,7,32
2018,Butler,20.838899999999995,116.103,95.2641,69.0718,0.906785,29,3,32
2018,Cal Poly,-17.339100000000002,96.2509,113.59,67.4159,0.129562,4,28,32
2018,Cal St. Bakersfield,-5.934100000000001,96.5839,102.518,66.7845,0.335001,11,21,32
2018,Cal St. Fullerton,-0.8539999999999992,101.63,102.484,70.7395,0.475975,15,17,32
2018,Cal St. Northridge,-15.856000000000009,97.324,113.18,66.9672,0.149849,5,27,32
2018,California,-6.1601,97.0509,103.211,69.908,0.330102,11,21,32
2018,Campbell,-5.373999999999995,104.938,110.312,68.9348,0.360232,12,20,32
2018,Canisius,1.5049999999999955,105.931,104.426,69.9616,0.541062,17,15,32
2018,Central Arkansas,-5.5859999999999985,104.211,109.797,73.9294,0.354226,11,21,32
2018,Central Connecticut,-12.87469999999999,96.9873,109.862,65.8534,0.192564,6,26,32
2018,Central Michigan,0.031999999999996476,109.469,109.437,68.2829,0.500865,16,16,32
2018,Charleston Southern,-7.387299999999996,99.9457,107.333,67.545,0.305754,10,22,32
2018,Charlotte,-14.396,98.653,113.049,72.415,0.172721,6,26,32
2018,Chattanooga,-13.210999999999999,98.293,111.504,66.6699,0.189965,6,26,32
2018,Chicago St.,-23.078199999999995,94.8968,117.975,73.3686,0.0756247,2,30,32
2018,Cincinnati,23.997199999999992,111.648,87.6508,66.1872,0.941744,30,2,32
2018,Clemson,19.426600000000008,112.531,93.1044,67.2293,0.898378,29,3,32
2018,Cleveland St.,-11.207100000000011,97.9429,109.15,68.2122,0.223417,7,25,32
2018,Coastal Carolina,-4.202000000000012,100.954,105.156,68.9304,0.384868,12,20,32
2018,Colgate,-3.421999999999997,104.452,107.874,67.6199,0.408386,13,19,32
2018,College of Charleston,2.5290000000000106,106.796,104.267,65.9645,0.568473,18,14,32
2018,Colorado,5.8285999999999945,104.806,98.9774,69.1921,0.65882,21,11,32
2018,Colorado St.,-4.995999999999995,102.04,107.036,71.0031,0.365935,12,20,32
2018,Columbia,-5.117999999999995,107.854,112.972,71.107,0.369779,12,20,32
2018,Connecticut,-1.6500000000000057,104.101,105.751,68.1291,0.454927,15,17,32
2018,Coppin St.,-23.5454,86.1596,109.705,68.6685,0.0585072,2,30,32
2018,Cornell,-7.4140000000000015,104.83,112.244,70.597,0.31306,10,22,32
2018,Creighton,18.7868,116.234,97.4472,72.2541,0.883643,28,4,32
2018,Dartmouth,-12.605599999999995,96.9214,109.527,67.8505,0.196847,6,26,32
2018,Davidson,14.634,116.973,102.339,65.5329,0.82303,26,6,32
2018,Dayton,1.5189999999999912,108.323,106.804,67.2245,0.540499,17,15,32
2018,DePaul,7.819599999999994,103.821,96.0014,71.0135,0.711051,23,9,32
2018,Delaware,-6.249000000000009,101.77,108.019,66.935,0.335088,11,21,32
2018,Delaware St.,-28.9846,90.2544,119.239,66.2245,0.0390632,1,31,32
2018,Denver,-3.1569999999999965,102.035,105.192,67.5479,0.41328,13,19,32
2018,Detroit,-15.054000000000002,101.626,116.68,73.7812,0.169595,5,27,32
2018,Drake,1.8119999999999976,105.596,103.784,69.2805,0.549594,18,14,32
2018,Drexel,-7.9069999999999965,102.278,110.185,70.0797,0.298095,10,22,32
2018,Duke,29.373099999999994,122.318,92.9449,70.929,0.959228,31,1,32
2018,Duquesne,-1.9620000000000033,104.817,106.779,67.2893,0.446886,14,18,32
2018,East Carolina,-12.517899999999997,96.2061,108.724,70.1376,0.196754,6,26,32
2018,East Tennessee St.,6.000100000000003,103.524,97.5239,68.8518,0.665215,21,11,32
2018,Eastern Illinois,-6.767499999999998,99.3655,106.133,66.8236,0.319142,10,22,32
2018,Eastern Kentucky,-11.119,101.093,112.212,69.4467,0.231485,7,25,32
2018,Eastern Michigan,2.2058999999999997,101.271,99.0651,65.9859,0.562982,18,14,32
2018,Eastern Washington,4.125,107.436,103.311,67.931,0.610694,20,12,32
2018,Elon,-8.105000000000004,102.591,110.696,68.4856,0.294342,9,23,32
2018,Evansville,2.277300000000011,97.6483,95.371,66.7492,0.56743,18,14,32
2018,FIU,-3.8074999999999903,98.5695,102.377,69.8747,0.392731,13,19,32
2018,Fairfield,-4.616,100.993,105.609,71.6101,0.374253,12,20,32
2018,Fairleigh Dickinson,-11.075000000000003,101.669,112.744,71.651,0.233428,7,25,32
2018,Florida,21.3151,115.174,93.8589,68.4779,0.913213,29,3,32
2018,Florida A&M,-23.40870000000001,94.2473,117.656,68.4289,0.0723434,2,30,32
2018,Florida Atlantic,-6.521000000000001,95.456,101.977,70.1602,0.318662,10,22,32
2018,Florida Gulf Coast,2.5859999999999985,105.768,103.182,72.2041,0.570684,18,14,32
2018,Florida St.,16.744600000000005,113.168,96.4234,72.5384,0.863119,28,4,32
2018,Fordham,-10.826099999999997,94.1109,104.937,67.1759,0.222324,7,25,32
2018,Fort Wayne,-1.2849999999999966,106.878,108.163,73.7733,0.465712,15,17,32
2018,Fresno St.,10.48960000000001,108.48,97.9904,67.7121,0.763059,24,8,32
2018,Furman,7.307999999999993,108.065,100.757,69.7186,0.691107,22,10,32
2018,Gardner Webb,-7.242900000000006,97.5621,104.805,69.0106,0.30502,10,22,32
2018,George Mason,-4.200999999999993,101.444,105.645,70.1225,0.385419,12,20,32
2018,George Washington,-0.17499999999999716,103.94,104.115,66.787,0.49515,16,16,32
2018,Georgetown,11.057999999999993,111.466,100.408,71.4206,0.76878,25,7,32
2018,Georgia,12.244799999999998,107.502,95.2572,65.6104,0.800698,26,6,32
2018,Georgia Southern,0.8170000000000073,104.801,103.984,69.8573,0.522505,17,15,32
2018,Georgia St.,7.286000000000001,108.789,101.503,67.6886,0.689358,22,10,32
2018,Georgia Tech,4.992999999999995,103.443,98.45,66.9674,0.638522,20,12,32
2018,Gonzaga,22.3442,117.23,94.8858,70.5471,0.919224,29,3,32
2018,Grambling St.,-13.204499999999996,93.1915,106.396,72.9641,0.178892,6,26,32
2018,Grand Canyon,5.39500000000001,101.936,96.541,69.9011,0.651436,21,11,32
2018,Green Bay,-8.248200000000011,99.7888,108.037,73.2203,0.286333,9,23,32
2018,Hampton,-7.489999999999995,100.078,107.568,72.7789,0.303665,10,22,32
2018,Hartford,-5.213000000000008,101.814,107.027,67.7168,0.360247,12,20,32
2018,Harvard,2.975999999999999,100.753,97.777,66.849,0.585368,19,13,32
2018,Hawaii,-2.3559000000000054,99.0701,101.426,69.0131,0.432833,14,18,32
2018,High Point,-7.946700000000007,98.5063,106.453,66.7834,0.290653,9,23,32
2018,Hofstra,0.6450000000000102,110.004,109.359,70.0028,0.516895,17,15,32
2018,Holy Cross,-9.456299999999999,97.7037,107.16,64.0268,0.256854,8,24,32
2018,Houston,20.897400000000005,114.822,93.9246,69.4377,0.909718,29,3,32
2018,Houston Baptist,-16.219799999999992,99.1812,115.401,74.6469,0.149076,5,27,32
2018,Howard,-20.999700000000004,98.4413,119.441,71.3978,0.0976414,3,29,32
2018,IUPUI,-10.415700000000001,97.5823,107.998,67.3088,0.237534,8,24,32
2018,Idaho,1.2990000000000066,107.933,106.634,66.8148,0.534761,17,15,32
2018,Idaho St.,-3.9749999999999943,104.158,108.133,69.2123,0.393967,13,19,32
2018,Illinois,9.036999999999992,110.699,101.662,71.2248,0.726978,23,9,32
2018,Illinois Chicago,-1.7630000000000052,100.222,101.985,73.2975,0.450048,14,18,32
2018,Illinois St.,1.9399999999999977,104.401,102.461,70.1047,0.553724,18,14,32
2018,Incarnate Word,-19.38029999999999,94.4877,113.868,70.645,0.104747,3,29,32
2018,Indiana,10.777699999999996,108.797,98.0193,67.761,0.768462,25,7,32
2018,Indiana St.,1.8079999999999927,103.223,101.415,71.1431,0.550629,18,14,32
2018,Iona,1.257000000000005,108.84,107.583,71.4767,0.533342,17,15,32
2018,Iowa,9.162000000000006,116.105,106.943,71.3854,0.720176,23,9,32
2018,Iowa St.,8.901999999999987,110.198,101.296,70.0587,0.724854,23,9,32
2018,Jackson St.,-19.026399999999995,89.2146,108.241,64.9086,0.0976971,3,29,32
2018,Jacksonville,-14.271600000000007,93.5954,107.867,69.6771,0.163555,5,27,32
2018,Jacksonville St.,0.7558999999999969,100.699,99.9431,67.1801,0.521658,17,15,32
2018,James Madison,-5.722999999999999,100.716,106.439,69.0735,0.346249,11,21,32
2018,Kansas,25.7624,122.113,96.3506,69.9025,0.938486,30,2,32
2018,Kansas St.,15.887500000000003,109.559,93.6715,66.4537,0.858355,27,5,32
2018,Kennesaw St.,-13.563400000000001,98.3156,111.879,69.5479,0.184494,6,26,32
2018,Kent St.,-4.176000000000002,101.651,105.827,69.8032,0.386254,12,20,32
2018,Kentucky,20.137199999999993,115.761,95.6238,69.9874,0.900045,29,3,32
2018,LIU Brooklyn,-8.073999999999998,101.854,109.928,72.7853,0.293746,9,23,32
2018,LSU,11.495999999999995,114.204,102.708,69.5374,0.772068,25,7,32
2018,La Salle,3.075000000000003,104.631,101.556,70.1042,0.58494,19,13,32
2018,Lafayette,-10.856000000000009,101.359,112.215,69.4118,0.236833,8,24,32
2018,Lamar,-3.975999999999999,101.142,105.118,68.8492,0.390923,13,19,32
2018,Lehigh,-5.771000000000001,105.222,110.993,71.9261,0.351146,11,21,32
