Date,Type,Team,Conf.,Opp.,Venue,Adj. O,Adj. D,T,O.EFF,O.eFG%,O.TO%,O.Reb%,O.FTR,D.EFF,D.eFG%,D.TO%,D.Reb%,D.FTR,G-Sc,+/-,Win,Points_For,Points_Against,Point_Differential
2017-11-10,N,Davidson,A10,Charleston Southern,Home,151.2,93.8,70.4,156.2,68.6,1.4,27.8,24.3,88.1,45.2,19.9,22.5,16.1,99.6,30,1,110,62,48
2017-11-10,N,Indiana St.,MVC,Indiana,Away,138.3,88.6,71.6,125.7,76.5,26.5,22.7,36.7,96.4,51.1,26.5,26.7,73.3,99.4,17,1,90,69,21
2017-11-10,N,North Carolina,ACC,Northern Iowa,Home,130.7,101.4,69.6,123.7,54.8,10.1,29.0,33.9,99.2,53.6,20.1,20.0,27.3,94.9,10,1,86,69,17
2017-11-10,N,Xavier,BE,Morehead St.,Home,129.3,74.2,72.9,138.6,79.2,20.6,29.2,52.8,67.2,29.7,23.3,30.6,37.3,99.8,29,1,101,49,52
2017-11-10,N,Kansas,B12,Tennessee St.,Home,128.2,81.7,73.9,124.5,70.0,27.1,40.0,18.3,75.8,39.7,20.3,18.6,27.6,99.4,24,1,92,56,36
2017-11-10,N,Arizona,P12,Northern Arizona,Home,127.9,111.8,72.2,139.8,64.0,15.2,52.2,56.1,92.8,43.1,18.0,27.9,51.7,82.5,13,1,101,67,34
2017-11-10,N,Wichita St.,Amer,UMKC,Home,127.3,79.3,80.5,135.4,71.1,17.4,29.6,35.9,70.8,34.6,17.4,14.0,26.2,99.6,27,1,109,57,52
2017-11-10,N,Texas,B12,Northwestern St.,Home,127.1,94.9,76.4,137.4,56.0,6.5,41.3,44.0,77.2,42.9,24.9,17.1,26.8,96.6,25,1,105,59,46
2017-11-10,N,Baylor,B12,Central Arkansas,Home,126.9,94.5,75.8,141.1,76.3,21.1,36.4,33.9,87.1,44.4,15.8,17.1,23.8,96.7,15,1,107,66,41
2017-11-10,N,Purdue,B10,SIU Edwardsville,Home,124.8,108.4,75.8,138.6,66.4,14.5,42.9,52.5,97.7,44.4,21.1,47.1,8.6,83.6,13,1,105,74,31
2017-11-10,N,LSU,SEC,Alcorn St.,Home,124.3,102.5,68.8,143.9,70.3,10.2,39.1,40.7,85.8,42.4,23.3,31.6,22.0,90.2,16,1,99,59,40
2017-11-10,N,Georgia Southern,SB,Wake Forest,Away,123.6,112.1,70.3,120.9,56.0,17.1,42.9,17.9,118.0,52.4,25.6,54.1,37.1,75.4,-5,1,85,83,2
2017-11-10,N,Tennessee Martin,OVC,Marshall,Away,123.1,118.1,70.3,115.0,61.7,27.8,42.4,23.4,128.9,57.2,15.2,43.9,49.3,61.9,2,0,102,91,11
2017-11-10,N,Missouri St.,MVC,Western Kentucky,Away,121.7,91.9,75.8,112.1,60.7,23.7,34.4,29.5,105.5,46.4,19.8,32.5,64.3,96.2,9,1,85,80,5
2017-11-10,N,Marshall,CUSA,Tennessee Martin,Home,121.2,133.9,70.3,128.9,57.2,15.2,43.9,49.3,115.0,61.7,27.8,42.4,23.4,24.2,-2,1,102,91,11
2017-11-10,N,Illinois,B10,Southern,Home,121.1,88.6,75.8,134.7,54.0,13.2,45.2,58.7,72.6,39.2,29.0,24.3,45.1,97.3,19,1,102,55,47
2017-11-10,N,N.C. State,ACC,VMI,Home,121.1,100.0,80.4,126.8,54.8,11.2,39.5,41.1,83.3,40.0,26.1,23.5,70.0,90.0,19,1,102,67,35
2017-11-10,N,High Point,BSth,William & Mary,Home,120.7,91.0,71.3,140.2,67.2,12.6,34.5,41.0,92.5,42.5,21.0,26.3,50.9,96.2,12,1,100,66,34
2017-11-10,N,Ohio St.,B10,Robert Morris,Home,120.3,95.4,78.2,121.5,63.4,24.3,55.2,23.9,81.9,43.1,23.0,20.5,15.4,93.5,15,1,95,64,31
2017-11-10,N,Mercer,SC,UCF,Away,120.2,123.2,74.9,105.4,51.8,18.7,25.0,50.0,117.4,58.0,18.7,38.7,66.1,42.8,-4,0,88,79,9
2017-11-10,N,Duke,ACC,Elon,Home,119.7,93.3,75.3,128.9,63.5,15.9,39.5,14.9,90.3,50.8,19.9,17.5,11.1,94.6,18,1,97,68,29
2017-11-10,N,Creighton,BE,Yale,Home,119.5,104.2,75.2,122.3,64.7,14.6,25.0,14.7,101.0,51.5,17.3,24.3,15.2,83.0,10,1,92,76,16
2017-11-10,N,Wake Forest,ACC,Georgia Southern,Home,119.1,119.8,70.3,118.0,52.4,25.6,54.1,37.1,120.9,56.0,17.1,42.9,17.9,48.3,5,0,85,83,2
2017-11-10,N,Tennessee,SEC,Presbyterian,Home,118.1,82.8,67.8,129.8,62.9,11.8,32.3,39.7,78.2,44.0,28.0,19.4,28.0,98.4,25,1,88,53,35
2017-11-10,N,Mississippi,SEC,Louisiana,Home,117.8,97.5,77.8,120.8,56.2,18.0,41.0,47.7,97.7,42.3,16.7,34.7,32.4,89.8,1,1,94,76,18
2017-11-10,N,Arizona St.,P12,Idaho St.,Home,117.7,99.4,75.9,123.8,59.2,14.5,36.4,40.0,97.5,51.7,18.4,21.6,37.3,87.5,12,1,94,74,20
2017-11-10,N,Loyola Chicago,MVC,Wright St.,Home,117.5,110.1,76.5,109.8,61.8,24.8,33.3,62.7,104.5,56.5,26.1,26.7,46.3,67.9,4,1,84,80,4
2017-11-10,N,VCU,A10,Grambling St.,Home,117.0,96.6,77.2,121.8,55.3,14.3,36.4,20.0,84.2,39.7,15.5,17.5,51.7,90.1,16,1,94,65,29
2017-11-10,N,SMU,Amer,UMBC,Home,116.8,112.7,64.5,120.9,55.3,17.1,34.4,74.5,103.9,50.0,21.7,30.3,48.0,60.3,-1,1,78,67,11
2017-11-10,N,Delaware,CAA,Richmond,Away,116.6,84.6,67.1,113.2,62.0,16.4,20.8,63.0,93.9,46.0,22.4,21.9,44.0,97.6,17,1,76,63,13
2017-11-10,N,Auburn,SEC,Norfolk St.,Home,116.2,101.7,82.5,123.6,61.9,19.4,31.0,47.6,89.7,44.3,19.4,21.4,44.3,82.3,15,1,102,74,28
2017-11-10,N,Tulane,Amer,LIU,Home,116.1,116.8,83.8,121.8,57.9,16.7,36.8,37.1,114.6,55.9,13.1,20.0,17.1,48.2,8,1,102,96,6
2017-11-10,N,Belmont,OVC,Washington,Away,116.0,105.5,77.4,105.9,56.9,20.7,26.5,18.5,111.1,57.7,19.4,25.0,69.2,74.9,4,0,86,82,4
2017-11-10,N,Oregon St.,P12,Southern Utah,Home,115.8,101.8,82.7,119.7,57.9,15.7,31.4,55.6,99.1,43.9,16.9,21.4,80.7,81.5,14,1,99,82,17
2017-11-10,N,UAB,CUSA,Jacksonville,Home,115.6,102.7,76.8,125.0,68.4,20.8,29.2,38.6,87.3,48.4,20.8,20.9,23.8,79.7,11,1,96,67,29
2017-11-10,N,Niagara,MAAC,St. Bonaventure,Away,115.4,95.6,72.2,106.6,54.7,18.0,23.5,58.5,103.8,44.3,18.0,38.6,50.8,89.6,5,1,77,75,2
2017-11-10,N,UMBC,AE,SMU,Away,115.4,111.0,64.5,103.9,50.0,21.7,30.3,48.0,120.9,55.3,17.1,34.4,74.5,61.1,1,0,78,67,11
2017-11-10,N,Wright St.,Horz,Loyola Chicago,Away,114.6,103.4,76.5,104.5,56.5,26.1,26.7,46.3,109.8,61.8,24.8,33.3,62.7,76.7,-4,0,84,80,4
2017-11-10,N,Virginia Tech,ACC,Detroit Mercy,Home,113.6,104.6,82.9,133.9,61.5,14.5,44.4,37.8,95.3,43.6,16.9,27.3,31.4,72.2,10,1,111,79,32
2017-11-10,N,South Carolina,SEC,Wofford,Away,113.2,80.3,62.6,116.6,56.5,22.4,37.5,29.6,83.1,40.8,20.8,22.2,32.7,98.1,11,1,73,52,21
2017-11-10,N,Gonzaga,WCC,Texas Southern,Home,113.0,92.9,77.2,125.7,56.2,18.1,50.0,30.6,89.4,38.9,13.0,28.8,31.9,90.5,13,1,97,69,28
2017-11-10,N,Marquette,BE,Mount St. Mary's,Home,112.8,86.5,68.1,117.5,56.1,16.2,33.3,36.8,86.6,52.0,23.5,13.8,21.6,95.5,17,1,80,59,21
2017-11-10,N,Monmouth,MAAC,Bucknell,Home,112.4,103.1,72.7,108.7,53.9,17.9,18.5,58.8,107.3,53.8,11.0,23.3,25.8,73.0,4,1,79,78,1
2017-11-10,N,Seton Hall,BE,Fairleigh Dickinson,Home,112.2,99.7,72.3,124.5,56.8,19.4,50.0,34.8,94.1,51.8,23.5,25.7,28.6,79.6,11,1,90,68,22
2017-11-10,N,LIU,NEC,Tulane,Away,112.1,121.0,83.8,114.6,55.9,13.1,20.0,17.1,121.8,57.9,16.7,36.8,37.1,29.4,-8,0,102,96,6
2017-11-10,N,SIU Edwardsville,OVC,Purdue,Away,111.9,112.8,75.8,97.7,44.4,21.1,47.1,8.6,138.6,66.4,14.5,42.9,52.5,47.6,-13,0,105,74,31
