Date,Type,Team,Opp,Points_For,Points_Against,Win
2023-02-04,conf,Abilene Christian,Cal Baptist,87,71,1
2023-03-07,conf_t,Abilene Christian,Cal Baptist,62,69,0
2022-12-17,nc,Abilene Christian,Cal St. Bakersfield,65,59,1
2023-02-17,conf,Abilene Christian,Grand Canyon,84,94,0
2022-12-06,nc,Abilene Christian,Kansas St.,64,81,0
2022-11-27,nc,Abilene Christian,Northern Arizona,92,82,1
2023-03-03,conf,Abilene Christian,Sam Houston St.,54,72,0
2023-02-01,conf,Abilene Christian,Seattle,83,68,1
2022-12-29,conf,Abilene Christian,Stephen F. Austin,68,75,0
2023-01-14,conf,Abilene Christian,Tarleton St.,63,72,0
2022-11-11,nc,Abilene Christian,Texas A&M,58,77,0
2022-11-23,nc,Abilene Christian,UC Riverside,65,76,0
2023-01-11,conf,Abilene Christian,UT Rio Grande Valley,86,103,0
2023-01-18,conf,Abilene Christian,Utah Valley,54,84,0
2022-11-22,nc,Abilene Christian,Weber St.,67,77,0
2022-11-21,nc,Abilene Christian,Wright St.,61,77,0
2023-01-03,nond1,Academy of Art,Saint Mary's,64,84,0
2022-11-07,nc,Air Force,Bowling Green,58,62,0
2023-01-10,conf,Air Force,Colorado St.,85,74,1
2023-01-14,conf,Air Force,Fresno St.,51,48,1
2023-02-03,conf,Air Force,Nevada,52,72,0
2023-01-27,conf,Air Force,New Mexico,73,81,0
2022-12-20,nc,Air Force,Northern Colorado,67,65,1
2022-12-03,nc,Air Force,Portland St.,64,68,0
2022-12-28,conf,Air Force,San Diego St.,55,71,0
2023-01-24,conf,Air Force,San Jose St.,52,82,0
2023-02-24,conf,Air Force,UNLV,53,54,0
2023-03-08,conf_t,Air Force,UNLV,70,78,0
2023-02-14,conf,Air Force,Utah St.,65,80,0
2023-02-17,conf,Air Force,Wyoming,75,69,1
2023-01-06,conf,Akron,Ball St.,63,70,0
2023-01-10,conf,Akron,Bowling Green,74,70,1
2022-12-22,nc,Akron,Bradley,55,74,0
2023-01-31,conf,Akron,Buffalo,81,64,1
2023-01-17,conf,Akron,Central Michigan,69,51,1
2023-02-14,conf,Akron,Eastern Michigan,78,51,1
2023-03-10,conf_t,Akron,Kent St.,73,79,0
2023-03-03,conf,Akron,Kent St.,84,89,0
2022-11-22,nc,Akron,LSU,58,73,0
2022-11-30,nc,Akron,Marshall,57,68,0
2022-11-11,nc,Akron,Mississippi St.,54,73,0
2022-11-23,nc,Akron,Nevada,58,62,0
2023-02-10,conf,Akron,Ohio,81,90,0
2023-02-21,conf,Akron,Toledo,63,84,0
2022-11-21,nc,Akron,Western Kentucky,72,53,1
2023-01-21,conf,Akron,Western Michigan,63,55,1
2023-02-25,conf,Alabama A&M,Alabama St.,55,50,1
2023-01-07,conf,Alabama A&M,Alcorn St.,76,89,0
2023-02-13,conf,Alabama A&M,Arkansas Pine Bluff,75,72,1
2023-01-30,conf,Alabama A&M,Bethune Cookman,77,88,0
2023-01-28,conf,Alabama A&M,Florida A&M,61,56,1
2023-03-02,conf,Alabama A&M,Grambling St.,48,60,0
2022-12-17,nc,Alabama A&M,Illinois,47,68,0
2023-01-09,conf,Alabama A&M,Jackson St.,64,72,0
2023-02-11,conf,Alabama A&M,Mississippi Valley St.,70,68,1
2022-11-19,nc,Alabama A&M,Norfolk St.,83,89,0
2022-12-29,nc,Alabama A&M,Ohio St.,59,90,0
2023-03-04,conf,Alabama A&M,Southern,68,65,1
2023-03-09,conf_t,Alabama A&M,Southern,77,63,1
2022-11-14,nc,Alabama A&M,Tennessee St.,76,87,0
2023-03-10,conf_t,Alabama A&M,Texas Southern,61,74,0
2022-12-22,nc,Alabama A&M,Vanderbilt,62,70,0
2023-01-16,conf,Alabama St.,Alabama A&M,69,61,1
2023-01-09,conf,Alabama St.,Alcorn St.,76,92,0
2023-02-11,conf,Alabama St.,Arkansas Pine Bluff,74,71,1
2022-12-19,nc,Alabama St.,Arkansas St.,65,72,0
2023-01-28,conf,Alabama St.,Bethune Cookman,62,64,0
2022-11-23,nc,Alabama St.,Duquesne,57,75,0
2022-11-26,nc,Alabama St.,Eastern Illinois,67,58,1
2023-01-30,conf,Alabama St.,Florida A&M,58,69,0
2022-12-17,nc,Alabama St.,Georgia Tech,60,96,0
2023-03-04,conf,Alabama St.,Grambling St.,49,69,0
2023-01-07,conf,Alabama St.,Jackson St.,58,61,0
2022-12-21,nc,Alabama St.,Memphis,61,83,0
2023-02-13,conf,Alabama St.,Mississippi Valley St.,70,76,0
2022-12-07,nc,Alabama St.,North Alabama,63,71,0
2022-11-27,nc,Alabama St.,Ohio,58,72,0
2022-11-13,nc,Alabama St.,Pepperdine,62,91,0
2022-11-20,nc,Alabama St.,Pittsburgh,54,73,0
2022-11-15,nc,Alabama St.,San Jose St.,57,70,0
2023-03-02,conf,Alabama St.,Southern,52,66,0
2022-11-07,nc,Alabama St.,UAB,70,111,0
2022-11-10,nc,Alabama St.,USC,58,96,0
2023-01-11,conf,Alabama,Arkansas,84,69,1
2023-02-11,conf,Alabama,Auburn,77,69,1
2022-11-25,nc,Alabama,Connecticut,67,82,0
2022-12-17,nc,Alabama,Gonzaga,90,100,0
2022-12-10,nc,Alabama,Houston,71,65,1
2023-02-04,conf,Alabama,LSU,79,69,1
2022-11-24,nc,Alabama,Michigan St.,81,70,1
2022-12-28,conf,Alabama,Mississippi St.,78,67,1
2023-01-21,conf,Alabama,Missouri,85,64,1
2022-11-27,nc,Alabama,North Carolina,103,101,1
2023-01-28,nc,Alabama,Oklahoma,69,93,0
2022-11-15,nc,Alabama,South Alabama,65,55,1
2023-02-22,conf,Alabama,South Carolina,78,76,1
2023-02-15,conf,Alabama,Tennessee,59,68,0
2023-03-04,conf,Alabama,Texas A&M,61,67,0
2023-01-17,conf,Alabama,Vanderbilt,78,66,1
2022-11-21,nond1,Albany St. (GA),Florida A&M,65,70,0
2022-11-29,nc,Albany,American,62,88,0
2022-11-21,nc,Albany,Austin Peay,59,74,0
2023-02-11,conf,Albany,Binghamton,66,80,0
2023-01-11,conf,Albany,Bryant,69,86,0
2022-11-08,nond1,Albany,Immaculata,74,47,1
2022-12-18,nc,Albany,Loyola Chicago,56,68,0
2023-02-18,conf,Albany,Maine,72,74,0
2022-12-05,nc,Albany,Massachusetts,73,87,0
2023-01-14,conf,Albany,NJIT,67,74,0
2023-01-25,conf,Albany,New Hampshire,65,84,0
2022-12-20,nc,Albany,Northern Illinois,83,78,1
2022-11-22,nc,Albany,Presbyterian,68,65,1
2022-12-10,nc,Albany,Providence,55,93,0
2022-11-17,nc,Albany,Saint Joseph's,79,99,0
2022-11-12,nc,Albany,Siena,62,75,0
2022-11-07,nc,Albany,Towson,62,67,0
2023-01-05,conf,Albany,UMBC,83,92,0
2023-02-01,conf,Albany,UMass Lowell,50,66,0
2023-02-28,conf,Albany,Vermont,61,79,0
2022-12-28,nc,Albany,Virginia,46,66,0
2022-11-18,nond1,Albertus Magnus,Quinnipiac,68,86,0
2022-11-27,nc,Alcorn St.,Arizona St.,54,76,0
2023-03-04,conf,Alcorn St.,Arkansas Pine Bluff,63,58,1
2023-02-11,conf,Alcorn St.,Bethune Cookman,76,74,1
2022-11-25,nc,Alcorn St.,Cal St. Bakersfield,62,54,1
2022-12-20,nc,Alcorn St.,Dayton,46,88,0
2023-02-13,conf,Alcorn St.,Florida A&M,67,64,1
2023-01-30,conf,Alcorn St.,Grambling St.,63,60,1
2022-11-29,nc,Alcorn St.,Grand Canyon,72,80,0
2023-02-18,conf,Alcorn St.,Jackson St.,75,60,1
2023-03-02,conf,Alcorn St.,Mississippi Valley St.,70,60,1
2022-11-07,nc,Alcorn St.,Mississippi,58,73,0
2023-01-16,conf,Alcorn St.,Prairie View A&M,77,68,1
2022-12-18,nc,Alcorn St.,Seattle,58,72,0
2022-12-10,nc,Alcorn St.,Southern Illinois,68,74,0
2023-01-28,conf,Alcorn St.,Southern,68,80,0
2022-11-15,nc,Alcorn St.,Stephen F. Austin,69,60,1
2022-12-04,nc,Alcorn St.,Tennessee,40,94,0
2022-11-23,nc,Alcorn St.,Texas A&M Corpus Chris,67,98,0
2023-01-14,conf,Alcorn St.,Texas Southern,79,74,1
2022-11-22,nc,Alcorn St.,UTEP,61,73,0
2022-11-12,nc,Alcorn St.,Wichita St.,66,57,1
2022-12-04,nond1,Alice Lloyd,Bellarmine,38,110,0
2022-12-21,nond1,Alice Lloyd,Morehead St.,50,66,0
2022-12-19,nond1,Allen,Presbyterian,70,90,0
2022-11-11,nond1,Allen,UNC Wilmington,55,104,0
2022-12-03,nond1,Alma,Central Michigan,50,89,0
2023-01-11,conf,American,Army,60,72,0
2023-02-08,conf,American,Boston University,54,60,0
2023-02-13,conf,American,Bucknell,51,73,0
2023-01-21,conf,American,Colgate,61,62,0
2022-11-13,nc,American,George Mason,56,73,0
